dec 20/15:20:50.478 DEBUG2 : 		

StartSession()

dec 20/15:20:50.478 INFO   : Debug Log(info): Loading the I-jet driver
dec 20/15:20:50.585 DEBUG2 : 		  ISigEmu::LinkAttach('SigTerminalLog'...)
dec 20/15:20:50.585 DEBUG2 : 		Core 0: sigEmu->LinkAttach(SigTerminalLog)
dec 20/15:20:50.585 DEBUG2 : 		<- CreateSigEmus()
dec 20/15:20:50.585 DEBUG2 : 		-> CreateInterfaceComProtocol()
dec 20/15:20:50.585 DEBUG2 : 		  ISigProbe::AcquireInterface('ComProtocol')
dec 20/15:20:50.585 DEBUG2 : 		<- CreateInterfaceComProtocol()
dec 20/15:20:50.585 DEBUG2 : 		-> CollectCoreNames()
dec 20/15:20:50.585 DEBUG2 : 		<- CollectCoreNames()
dec 20/15:20:50.585 DEBUG2 : 		-> DoIceConnect()
dec 20/15:20:50.585 DEBUG2 : 		  core 0: IsigEmu::ParamSet('BoardDID', '')
dec 20/15:20:50.585 DEBUG2 : 		Core 0: IceConnect(...)
dec 20/15:20:50.588 DEBUG2 : 		<- DoIceConnect()
dec 20/15:20:50.588 DEBUG2 : 		-> DoIceInit()
dec 20/15:20:50.588 DEBUG2 : 		Core 0: IceInit(...)
dec 20/15:20:50.593 DEBUG2 : 		ISigEmu::IceVersion(204)
dec 20/15:20:50.593 INFO   : Debug Log(info): Emulation layer version 5.16
dec 20/15:20:50.593 DEBUG2 : 		ISigEmu::IceStatus(0)
dec 20/15:20:50.593 DEBUG2 : 		<- DoIceInit()
dec 20/15:20:50.593 DEBUG2 : 		-> CreateCmdInterpreter()
dec 20/15:20:50.593 DEBUG2 : 		  ISigProbe::CreateInstance(..., 'SigCmdInterpreter', '')
dec 20/15:20:50.595 DEBUG2 : 		<- CreateCmdInterpreter()
dec 20/15:20:50.595 DEBUG2 : 		  ISigCmdInterpreter::LinkAttach('ISigEmu',...)
dec 20/15:20:50.595 DEBUG2 : 		-> AcquireA2DInterface()
dec 20/15:20:50.595 DEBUG2 : 		  ISigProbe::AcquireInterface('ISigA2D')
dec 20/15:20:50.595 DEBUG2 : 		  ISigA2D::LinkAttach('SigEmu',...)
dec 20/15:20:50.595 DEBUG2 : 		  ISigA2D::LinkAttach('SigTerminalLog',...)
dec 20/15:20:50.595 DEBUG2 : 		  ISigA2D::Init('null')
dec 20/15:20:50.869 INFO   : Debug Log(info): SWD clock detected: 12MHz

dec 20/15:20:50.870 INFO   : SWD clock detected: 12MHz

dec 20/15:20:50.870 INFO   : Debug Log(info): Notification to core-connect hookup.

dec 20/15:20:50.870 INFO   : Notification to core-connect hookup.

dec 20/15:20:50.870 DEBUG2 : 		>Calling _ExecDeviceCoreConnect
dec 20/15:20:50.870 DEBUG2 : 		ISigCmdInterpreter::Execute('/noerror dap.RDPr 0')
dec 20/15:20:50.872 INFO   : Debug Log(info): Connected DAP v2 on SWD. Detected DP ID=0x6ba02477.

dec 20/15:20:50.872 INFO   : Connected DAP v2 on SWD. Detected DP ID=0x6ba02477.

dec 20/15:20:50.873 DEBUG2 : 		ISigCmdInterpreter::Execute('dap.APr 0 0x1')
dec 20/15:20:50.873 DEBUG2 : 		<Call to _ExecDeviceCoreConnect completed successfully
dec 20/15:20:50.873 DEBUG2 : 		<Call to execUserCoreConnect: macro undefined
dec 20/15:20:50.960 INFO   : Debug Log(info): Connecting to TAP#0 DAP AHB-AP port 0x2 (IDR=0x8477'0001).

dec 20/15:20:50.960 INFO   : Connecting to TAP#0 DAP AHB-AP port 0x2 (IDR=0x8477'0001).

dec 20/15:20:50.960 INFO   : Debug Log(info): Recognized CPUID=0x411fc272 Cortex-M7 r1p2 arch ARMv7-M

dec 20/15:20:50.960 INFO   : Recognized CPUID=0x411fc272 Cortex-M7 r1p2 arch ARMv7-M

dec 20/15:20:50.960 INFO   : Debug Log(info): Set cacheable access on AHB-AP port 2 (HPROT=0xeb000000).

dec 20/15:20:50.960 INFO   : Set cacheable access on AHB-AP port 2 (HPROT=0xeb000000).

dec 20/15:20:50.960 INFO   : Debug Log(info): Debug resources: 8 instruction comparators, 4 data watchpoints.

dec 20/15:20:50.960 INFO   : Debug resources: 8 instruction comparators, 4 data watchpoints.

dec 20/15:20:50.960 DEBUG2 : 		  ConnectToHardware(), checking status (#1): Core 0: CpuStatus(status = <0x13: CPU_STATUS_MPOWER | CPU_STATUS_MRUN | CPU_STATUS_MLOCKUP>) = 0
dec 20/15:20:50.960 INFO   : Debug Log(info): CPU status - LOCKUP
dec 20/15:20:50.960 DEBUG2 : 		<- AcquireA2DInterface()
dec 20/15:20:50.960 DEBUG2 : 		-> AcquireEmuVectInterface()
dec 20/15:20:50.960 DEBUG2 : 		  ISigEmu::AcquireInterface('ISigEmuVect') (core 0)
dec 20/15:20:50.960 DEBUG2 : 		<- AcquireEmuVectInterface()
dec 20/15:20:50.960 DEBUG2 : 		-> AcquireEmuWptInterface()
dec 20/15:20:50.960 DEBUG2 : 		  ISigEmu::AcquireInterface('ISigEmuWpt')
dec 20/15:20:50.960 DEBUG2 : 		<- AcquireEmuWptInterface()
dec 20/15:20:50.960 DEBUG2 : 		-> AcquirePcSamplerInterface()
dec 20/15:20:50.960 DEBUG2 : 		  ISigEmu::AcquireInterface('ISigPcSampler')
dec 20/15:20:50.960 DEBUG2 : 		<- AcquirePcSamplerInterface()
dec 20/15:20:50.960 DEBUG2 : 		<- ConnectToHardware()
dec 20/15:20:50.960 DEBUG2 : 		>Calling _ExecDevicePreReset
dec 20/15:20:50.960 DEBUG2 : 		ISigCmdInterpreter::Execute('/noerror dap.r 0x17000000 1')
dec 20/15:20:50.960 DEBUG2 : 		ISigCmdInterpreter::Execute('dap.r 0xf0000fec 0x01')
dec 20/15:20:50.960 DEBUG2 : 		ISigCmdInterpreter::Execute('dap.r 0x17002004 0x01')
dec 20/15:20:50.960 DEBUG2 : 		ISigCmdInterpreter::Execute('dap.r 0x17007df8 0x01')
dec 20/15:20:50.960 DEBUG2 : 		ISigCmdInterpreter::Execute('dap.r 0x402020c4 0x01')
dec 20/15:20:50.960 DEBUG2 : 		ISigCmdInterpreter::Execute('dap.r 0x17002018 0x01')
dec 20/15:20:50.960 DEBUG2 : 		ISigCmdInterpreter::Execute('dap.r 0xf0000fe0 0x01')
dec 20/15:20:50.975 DEBUG2 : 		ISigCmdInterpreter::Execute('dap.r 0xf0000fe4 0x01')
dec 20/15:20:50.975 DEBUG2 : 		ISigCmdInterpreter::Execute('dap.r 0xf0000fe8 0x01')
dec 20/15:20:50.975 INFO   : Debug Log(user): DMAC: Family ID: 0x10b, Series: CYT3DL, Major.Minor Rev.: 1.3, Silicon ID: 0xe850
dec 20/15:20:50.975 INFO   : Debug Log(user): DMAC: FlashBoot Ver.: 3.1.0.563, TOC2 Flags: 0x243, Protection: NORMAL
dec 20/15:20:50.975 DEBUG2 : 		<Call to _ExecDevicePreReset completed successfully
dec 20/15:20:50.975 DEBUG2 : 		<Call to execUserPreReset: macro undefined
dec 20/15:20:50.975 DEBUG2 : 		->   LowLevelReset(system, delay 200)
dec 20/15:20:50.975 INFO   : Debug Log(info): LowLevelReset(system, delay 200)
dec 20/15:20:50.975 INFO   : Debug Log(info): Calling reset script: Traveo2_CM7_SystemReset
dec 20/15:20:50.975 DEBUG2 : 		>Calling Traveo2_CM7_SystemReset
dec 20/15:20:50.975 DEBUG2 : 		ISigCmdInterpreter::Execute('dap.r 0x40261244 0x01')
dec 20/15:20:50.975 DEBUG2 : 		ISigCmdInterpreter::Execute('dap.r 0x40201200 0x01')
dec 20/15:20:50.975 INFO   : Debug Log(user): DMAC: Performing system reset ...
dec 20/15:20:50.975 DEBUG2 : 		ISigCmdInterpreter::Execute('/noerror reset system')
dec 20/15:20:51.196 INFO   : Debug Log(info): The processor cannot be debugged.

dec 20/15:20:51.196 INFO   : The processor cannot be debugged.

dec 20/15:20:51.196 INFO   : Debug Log(info): The debug registers are not accessible or

dec 20/15:20:51.196 INFO   : The debug registers are not accessible or

dec 20/15:20:51.196 INFO   : Debug Log(info): the CPU clock is stalled by the memory controller.

dec 20/15:20:51.196 INFO   : the CPU clock is stalled by the memory controller.

dec 20/15:20:51.196 INFO   : Debug Log(info): Reset or power cycle the board.

dec 20/15:20:51.196 INFO   : Reset or power cycle the board.

dec 20/15:20:51.306 DEBUG2 : 		ISigCmdInterpreter::Execute('refresh')
dec 20/15:20:51.306 DEBUG2 : 		>Calling _ExecDeviceCoreConnect
dec 20/15:20:51.306 DEBUG2 : 		ISigCmdInterpreter::Execute('/noerror dap.RDPr 0')
dec 20/15:20:51.306 DEBUG2 : 		ISigCmdInterpreter::Execute('dap.APr 0 0x1')
dec 20/15:20:51.306 DEBUG2 : 		<Call to _ExecDeviceCoreConnect completed successfully
dec 20/15:20:51.306 DEBUG2 : 		<Call to execUserCoreConnect: macro undefined
dec 20/15:20:51.401 INFO   : Debug Log(info): Connecting to TAP#0 DAP AHB-AP port 0x2 (IDR=0x8477'0001).

dec 20/15:20:51.401 INFO   : Connecting to TAP#0 DAP AHB-AP port 0x2 (IDR=0x8477'0001).

dec 20/15:20:51.401 INFO   : Debug Log(info): Recognized CPUID=0x411fc272 Cortex-M7 r1p2 arch ARMv7-M

dec 20/15:20:51.401 INFO   : Recognized CPUID=0x411fc272 Cortex-M7 r1p2 arch ARMv7-M

dec 20/15:20:51.401 INFO   : Debug Log(info): Set cacheable access on AHB-AP port 2 (HPROT=0xeb000000).

dec 20/15:20:51.401 INFO   : Set cacheable access on AHB-AP port 2 (HPROT=0xeb000000).

dec 20/15:20:51.401 INFO   : Debug Log(info): Debug resources: 8 instruction comparators, 4 data watchpoints.

dec 20/15:20:51.401 INFO   : Debug resources: 8 instruction comparators, 4 data watchpoints.

dec 20/15:20:51.416 DEBUG2 : 		ISigCmdInterpreter::Execute('refresh')
dec 20/15:20:51.416 DEBUG2 : 		ISigCmdInterpreter::Execute('dap.r 0x40261244 0x01')
dec 20/15:20:51.416 DEBUG2 : 		ISigCmdInterpreter::Execute('dap.r 0x40201200 0x01')
dec 20/15:20:51.416 DEBUG2 : 		ISigCmdInterpreter::Execute('dap.r 0x4020000c 0x01')
dec 20/15:20:51.416 DEBUG2 : 		ISigCmdInterpreter::Execute('stop')
dec 20/15:20:51.416 DEBUG2 : 		<Call to Traveo2_CM7_SystemReset completed successfully
dec 20/15:20:51.416 DEBUG2 : 		ISigPcSampler::GetSample(SIGAPIARM_SAMPLE_CYCLE) = 0x3f7c94
dec 20/15:20:51.416 DEBUG2 : 		<-   LowLevelReset(system, delay 200)
dec 20/15:20:51.416 DEBUG2 : 		->   StartSession(): WaitForCpuResetToComplete(core 0)
dec 20/15:20:51.416 DEBUG2 : 		  StartSession(): Core 0: CpuStatus(status = <0x1: CPU_STATUS_MPOWER>) = 0
dec 20/15:20:51.416 INFO   : Debug Log(minor): CPU status OK
dec 20/15:20:51.416 DEBUG2 : 		<-   StartSession(): WaitForCpuResetToComplete(core 0)
dec 20/15:20:51.416 DEBUG2 : 		StartSession() checking powerCore 0: CpuStatus(status = <0x1: CPU_STATUS_MPOWER>) = 0
dec 20/15:20:51.416 DEBUG2 : 		Core 0: IceInfo(0, ...)
dec 20/15:20:51.416 DEBUG2 : 		============== Starting flash pass 0
dec 20/15:20:51.416 DEBUG2 : 		============== Downloading flashloader
dec 20/15:20:51.416 DEBUG2 : 		<Call to _ExecDeviceFlashInit: macro undefined
dec 20/15:20:51.416 DEBUG2 : 		>Calling execUserFlashInit
dec 20/15:20:51.416 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe000ed00, 4 bytes [by 4] = [ 72 c2 1f 41 ])
dec 20/15:20:51.416 DEBUG2 : 		ISigCmdInterpreter::Execute('dap.w 0xe000edf0 0xa05f0003 0x01')
dec 20/15:20:51.416 DEBUG2 : 		ISigCmdInterpreter::Execute('dap.r 0xe000edf0 0x01')
dec 20/15:20:51.416 DEBUG2 : 		  WritePostCache(): MemWrite(core 0, 0:0x28000800, 4 bytes [by 4] = [ 30 bf fd e7 ])
dec 20/15:20:51.416 DEBUG2 : 		ISigCmdInterpreter::Execute('dap.w 0xe000ed0c 0x05fa0002 0x01')
dec 20/15:20:51.416 DEBUG2 : 		ISigCmdInterpreter::Execute('dap.w 0xe000edf8 0x01000000 0x01')
dec 20/15:20:51.416 DEBUG2 : 		ISigCmdInterpreter::Execute('dap.w 0xe000edf4 0x00010010 0x01')
dec 20/15:20:51.416 DEBUG2 : 		ISigCmdInterpreter::Execute('dap.r 0xe000edf0 0x01')
dec 20/15:20:51.416 DEBUG2 : 		ISigCmdInterpreter::Execute('dap.w 0xe000edf8 0x00000000 0x01')
dec 20/15:20:51.416 DEBUG2 : 		ISigCmdInterpreter::Execute('dap.w 0xe000edf4 0x00010014 0x01')
dec 20/15:20:51.416 DEBUG2 : 		ISigCmdInterpreter::Execute('dap.r 0xe000edf0 0x01')
dec 20/15:20:51.416 DEBUG2 : 		ISigCmdInterpreter::Execute('dap.w 0xe000edf8 0x28000800 0x01')
dec 20/15:20:51.416 DEBUG2 : 		ISigCmdInterpreter::Execute('dap.w 0xe000edf4 0x0001000f 0x01')
dec 20/15:20:51.432 DEBUG2 : 		ISigCmdInterpreter::Execute('dap.r 0xe000edf0 0x01')
dec 20/15:20:51.432 DEBUG2 : 		ISigCmdInterpreter::Execute('dap.w 0xe000edf8 0x28000840 0x01')
dec 20/15:20:51.432 DEBUG2 : 		ISigCmdInterpreter::Execute('dap.w 0xe000edf4 0x0001000d 0x01')
dec 20/15:20:51.432 DEBUG2 : 		ISigCmdInterpreter::Execute('dap.r 0xe000edf0 0x01')
dec 20/15:20:51.432 DEBUG2 : 		ISigCmdInterpreter::Execute('dap.w 0xe000ed08 0x00000000 0x01')
dec 20/15:20:51.432 DEBUG2 : 		ISigCmdInterpreter::Execute('dap.w 0xe000e280 0x0000ffff 0x01')
dec 20/15:20:51.432 DEBUG2 : 		ISigCmdInterpreter::Execute('dap.w 0xe000e180 0xfffffffc 0x01')
dec 20/15:20:51.432 DEBUG2 : 		ISigCmdInterpreter::Execute('dap.w 0xe000e100 0x00000003 0x01')
dec 20/15:20:51.432 DEBUG2 : 		ISigCmdInterpreter::Execute('dap.w 0xe000e400 0x00000040 0x01')
dec 20/15:20:51.432 DEBUG2 : 		ISigCmdInterpreter::Execute('dap.w 0xe000edf0 0xa05f0001 0x01')
dec 20/15:20:51.432 DEBUG2 : 		<Call to execUserFlashInit completed successfully
dec 20/15:20:51.906 DEBUG2 : 		  WritePostCache(): MemWrite(core 0, 0:0x28020000, 2304 bytes [by 0] = [ 00 00 04 28 51 08 02 28 ... ])
dec 20/15:20:51.921 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x28020000, 2304 bytes [by 0] = [ 00 00 04 28 51 08 02 28 ... ])
dec 20/15:20:51.921 DEBUG2 : 		============== Running flashloader
dec 20/15:20:51.921 INFO   : Debug Log(info): Loaded debugee: C:\Program Files\IAR Systems\Embedded Workbench 9.1\arm/config/flashloader/Infineon/FlashTVIIBH_128K.out
dec 20/15:20:51.921 DEBUG2 : 		<Call to _ExecDeviceFlashPreReset: macro undefined
dec 20/15:20:51.921 DEBUG2 : 		<Call to execUserFlashPreReset: macro undefined
dec 20/15:20:51.921 DEBUG2 : 		-> LowLevelReset(0)
dec 20/15:20:51.921 DEBUG2 : 		->   LowLevelReset(software, delay 200)
dec 20/15:20:51.921 DEBUG2 : 		  core 0: IsigEmu::ParamSet('JtagInitDelay', '200,r:300')
dec 20/15:20:51.921 DEBUG2 : 		LowLevelSoftwareReset(): Core 0: CpuStatus(status = <0x1: CPU_STATUS_MPOWER>) = 0
dec 20/15:20:51.921 DEBUG2 : 		  core 0: IsigEmu::ParamSet('ResetStyle', 'SOFTWARE')
dec 20/15:20:51.921 DEBUG2 : 		Core 0: LowLevelSoftwareReset()
dec 20/15:20:52.062 DEBUG2 : 		->   LowLevelSoftwareReset(): WaitForCpuResetToComplete(core 0)
dec 20/15:20:52.078 DEBUG2 : 		  LowLevelSoftwareReset(): Core 0: CpuStatus(status = <0x1: CPU_STATUS_MPOWER>) = 0
dec 20/15:20:52.078 DEBUG2 : 		<-   LowLevelSoftwareReset(): WaitForCpuResetToComplete(core 0)
dec 20/15:20:52.283 DEBUG2 : 		->   LowLevelReset(): WaitForCpuResetToComplete(core 0)
dec 20/15:20:52.283 DEBUG2 : 		  LowLevelReset(): Core 0: CpuStatus(status = <0x1: CPU_STATUS_MPOWER>) = 0
dec 20/15:20:52.283 DEBUG2 : 		<-   LowLevelReset(): WaitForCpuResetToComplete(core 0)
dec 20/15:20:52.283 DEBUG2 : 		ISigPcSampler::GetSample(SIGAPIARM_SAMPLE_CYCLE) = 0x3f7cb5
dec 20/15:20:52.283 DEBUG2 : 		<-   LowLevelReset(software, delay 200)
dec 20/15:20:52.283 DEBUG2 : 		<- LowLevelReset(0)
dec 20/15:20:52.283 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x28020000, 4 bytes [by 4] = [ 00 00 04 28 ])
dec 20/15:20:52.283 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x28020004, 4 bytes [by 4] = [ 51 08 02 28 ])
dec 20/15:20:52.283 DEBUG2 : 		CpuRegSet(Core 0, SP_Main ->17) = 0x28040000 (671350784)
dec 20/15:20:52.283 DEBUG2 : 		CpuRegSet(Core 0, PC ->15) = 0x28020850 (671221840)
dec 20/15:20:52.283 DEBUG2 : 		CpuRegGet(Core 0, XPSR ->16) = 0x1000000 (16777216)
dec 20/15:20:52.283 DEBUG2 : 		CpuRegSet(Core 0, XPSR ->16) = 0x1000000 (16777216)
dec 20/15:20:52.283 DEBUG2 : 		CpuRegGet(Core 0, PC -> 15) = 0x28020850 (671221840)
dec 20/15:20:52.283 INFO   : Debug Log(info): Target reset
dec 20/15:20:52.283 DEBUG2 : 		<Call to _ExecDeviceFlashReset: macro undefined
dec 20/15:20:52.283 DEBUG2 : 		>Calling execUserFlashReset
dec 20/15:20:52.283 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0xe000ed00, 4 bytes [by 4] = [ 72 c2 1f 41 ])
dec 20/15:20:52.283 DEBUG2 : 		<Call to execUserFlashReset completed successfully
dec 20/15:20:52.283 DEBUG2 : 		SetCodeBreak(<9:0xf000000000000000>, 1 units, 'C-SPY Terminal I/O && library support module')
dec 20/15:20:52.283 DEBUG2 : 		  WritePostCache(): MemWrite(core 0, 0:0x2803fe3c, 4 bytes [by 4] = [ 00 00 00 00 ])
dec 20/15:20:52.299 DEBUG2 : 		  WritePostCache(): MemWrite(core 0, 0:0x2803fe28, 20 bytes [by 0] = [ 00 00 00 10 00 00 00 00 ... ])
dec 20/15:20:52.299 DEBUG2 : 		Write reg 1 of 1: PC[0x1f0] = 0x28020850 (671221840)
dec 20/15:20:52.299 DEBUG2 : 		CpuRegSet(Core 0, 15, 671221840)
dec 20/15:20:52.299 DEBUG2 : 		CpuRegGet(Core 0, XPSR ->16) = 0x1000000 (16777216)
dec 20/15:20:52.299 DEBUG2 : 		CpuRegSet(Core 0, XPSR ->16) = 0x1000000 (16777216)
dec 20/15:20:52.299 DEBUG2 : 		SetCodeBreak(<0:0x280200cc>, 1 units, '')
dec 20/15:20:52.299 DEBUG2 : 		  SetCodeBreak(): BreakSetAttr(bank 0, count 1, addr 0x280200cc, attr <0x2000d: CPUMODE(THUMB) | SIGEMU_BRK_ATTR_SET | SIGEMU_BRK_ATTR_SW | SIGEMU_BRK_ATTR_HW>)
dec 20/15:20:52.299 DEBUG2 : 		  SetBreakpoint(): BreakGetAttr(bank 0, count 1, addr 0x280200cc, attr <0x20405: CPUMODE(THUMB) | SIGEMU_BRK_ATTR_SET | SIGEMU_BRK_ATTR_SW | SIGEMU_BRK_ATTR_LITTLEENDIAN>)
dec 20/15:20:52.299 DEBUG2 : 		PlDriver::Go(core 0): mIsExecuting[0] = true
dec 20/15:20:52.299 DEBUG2 : 		-> LowLevelGo(core 0)
dec 20/15:20:52.299 DEBUG2 : 		CpuRegGet(Core 0, PC ->15) = 0x28020850 (671221840)
dec 20/15:20:52.299 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x28020850, 2 bytes [by 2] = [ ff f7 ])
dec 20/15:20:52.299 DEBUG2 : 		  LowLevelGo(core 0) [multi = false], CpuStatus(): Core 0: CpuStatus(status = <0x1: CPU_STATUS_MPOWER>) = 0
dec 20/15:20:52.299 DEBUG2 : 		Core 0:   LowLevelGo(core 0) [multi = false], CpuGo()
dec 20/15:20:52.315 DEBUG2 : 		CpuRegGet(Core 0, PC -> 15) = 0x280200cc (671219916)
dec 20/15:20:52.315 DEBUG2 : 		LowLevelGo(core 0): errNo == ERR_OK, cpu status = not running, not sleeping, cpu power = 1 --> Exit LowLevelGo loop
dec 20/15:20:52.315 DEBUG2 : 		LowLevelGo(core 0): Setting single mIsExecuting[0] = false [multi == false]
dec 20/15:20:52.315 DEBUG2 : 		LowLevelGo(core 0): CPU core 0 is now stopped, after 2 polls in 0s
dec 20/15:20:52.315 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x280200cc, 2 bytes [by 2] = [ fe e7 ])
dec 20/15:20:52.315 DEBUG2 : 		  GetStopBreaks(): BreakGetAttr(bank 0, count 1, addr 0x280200cc, attr <0x20405: CPUMODE(THUMB) | SIGEMU_BRK_ATTR_SET | SIGEMU_BRK_ATTR_SW | SIGEMU_BRK_ATTR_LITTLEENDIAN>)
dec 20/15:20:52.315 DEBUG2 : 		LowLevelGo(core 0): Stopped at breakpoint
dec 20/15:20:52.315 DEBUG2 : 		<- LowLevelGo(core 0)
dec 20/15:20:52.315 DEBUG2 : 		PlDriver::Go(core 0): goStatus = 0
dec 20/15:20:52.315 DEBUG2 : 		ISigPcSampler::GetSample(SIGAPIARM_SAMPLE_CYCLE) = 0x3f7e70
dec 20/15:20:52.315 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x2803fe28, 20 bytes [by 0] = [ 00 00 00 10 00 00 00 00 ... ])
dec 20/15:20:52.315 DEBUG2 : 		  WritePostCache(): MemWrite(core 0, 0:0x28020900, 24 bytes [by 0] = [ 00 00 08 10 00 80 00 00 ... ])
dec 20/15:20:52.315 DEBUG2 : 		  WritePostCache(): MemWrite(core 0, 0:0x2803fe28, 20 bytes [by 0] = [ 00 00 00 00 03 00 00 00 ... ])
dec 20/15:20:52.315 DEBUG2 : 		Write reg 1 of 1: PC[0x1f0] = 0x28020860 (671221856)
dec 20/15:20:52.315 DEBUG2 : 		CpuRegSet(Core 0, 15, 671221856)
dec 20/15:20:52.315 DEBUG2 : 		CpuRegGet(Core 0, XPSR ->16) = 0x41000000 (1090519040)
dec 20/15:20:52.315 DEBUG2 : 		CpuRegSet(Core 0, XPSR ->16) = 0x41000000 (1090519040)
dec 20/15:20:52.315 DEBUG2 : 		PlDriver::Go(core 0): mIsExecuting[0] = true
dec 20/15:20:52.315 DEBUG2 : 		-> LowLevelGo(core 0)
dec 20/15:20:52.315 DEBUG2 : 		CpuRegGet(Core 0, PC ->15) = 0x28020860 (671221856)
dec 20/15:20:52.315 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x28020860, 2 bytes [by 2] = [ ff f7 ])
dec 20/15:20:52.315 DEBUG2 : 		  LowLevelGo(core 0) [multi = false], CpuStatus(): Core 0: CpuStatus(status = <0x1: CPU_STATUS_MPOWER>) = 0
dec 20/15:20:52.315 DEBUG2 : 		Core 0:   LowLevelGo(core 0) [multi = false], CpuGo()
dec 20/15:20:52.487 DEBUG2 : 		CpuRegGet(Core 0, PC -> 15) = 0x280200cc (671219916)
